match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2011-08-27,-1.0,-1.0,-1.0,-1.0,granada,betis,Away,Home,Home
2,2011-08-27,-2.0,-2.0,-1.0,-1.0,sp gijon,sociedad,Away,Home,Home
3,2011-08-27,-1.6,-1.6,0.4,0.4,valencia,santander,Home,Home,Home
4,2011-08-28,-2.6,-2.6,-1.0,-1.0,ath bilbao,vallecano,Draw,Home,Home
5,2011-08-28,-3.6,-3.6,-1.0,-1.0,ath madrid,osasuna,Draw,Home,Home
6,2011-08-28,-4.6,-4.6,-1.0,-1.0,getafe,levante,Draw,Home,Home
7,2011-08-28,-3.6,-3.6,1.0,1.0,mallorca,espanol,Home,Home,Home
8,2011-08-28,-2.5,-2.5,1.1,1.1,sevilla,malaga,Home,Home,Home
9,2011-08-28,-2.17,-2.17,0.33,0.33,zaragoza,real madrid,Away,Away,Away
10,2011-08-29,-1.92,-1.92,0.25,0.25,barcelona,villarreal,Home,Home,Home
11,2011-09-10,-2.92,-2.92,-1.0,-1.0,villarreal,sevilla,Draw,Home,Home
12,2011-09-10,-2.01,-2.01,0.91,0.91,valencia,ath madrid,Home,Home,Home
13,2011-09-10,-1.93,-1.93,0.08,0.08,real madrid,getafe,Home,Home,Home
14,2011-09-10,-2.93,-2.93,-1.0,-1.0,sociedad,barcelona,Draw,Away,Away
15,2011-09-11,-2.02,-2.02,0.91,0.91,betis,mallorca,Home,Home,Home
16,2011-09-11,-0.62,-0.62,1.4,1.4,espanol,ath bilbao,Home,Home,Home
17,2011-09-11,0.29,0.29,0.91,0.91,osasuna,sp gijon,Home,Home,Home
18,2011-09-11,-0.71,-0.71,-1.0,-1.0,santander,levante,Draw,Home,Home
19,2011-09-11,-1.71,-1.71,-1.0,-1.0,vallecano,zaragoza,Draw,Away,Home
20,2011-09-12,-1.31,-1.31,0.4,0.4,malaga,granada,Home,Home,Home
21,2011-09-17,-0.11,-0.11,1.2,1.2,sp gijon,valencia,Away,Away,Away
22,2011-09-17,0.42,0.42,0.53,0.53,sevilla,sociedad,Home,Home,Home
23,2011-09-17,1.67,1.67,1.25,1.25,mallorca,malaga,Away,Away,Away
24,2011-09-17,0.67,0.67,-1.0,-1.0,granada,villarreal,Home,Away,Away
25,2011-09-17,0.75,0.75,0.08,0.08,barcelona,osasuna,Home,Home,Home
26,2011-09-18,-0.25,-0.25,-1.0,-1.0,getafe,vallecano,Away,Home,Home
27,2011-09-18,-1.25,-1.25,-1.0,-1.0,ath bilbao,betis,Away,Home,Home
28,2011-09-18,-2.25,-2.25,-1.0,-1.0,levante,real madrid,Home,Away,Away
29,2011-09-18,-1.15,-1.15,1.1,1.1,zaragoza,espanol,Home,Home,Home
30,2011-09-18,-0.71,-0.71,0.44,0.44,ath madrid,santander,Home,Home,Home
31,2011-09-20,-1.71,-1.71,-1.0,-1.0,osasuna,sevilla,Draw,Away,Away
32,2011-09-20,-0.71,-0.71,1.0,1.0,sociedad,granada,Home,Home,Home
33,2011-09-20,-0.09,-0.09,0.62,0.62,villarreal,mallorca,Home,Home,Home
34,2011-09-21,-1.09,-1.09,-1.0,-1.0,santander,real madrid,Draw,Away,Away
35,2011-09-21,-2.09,-2.09,-1.0,-1.0,vallecano,levante,Away,Home,Home
36,2011-09-21,-3.09,-3.09,-1.0,-1.0,valencia,barcelona,Draw,Away,Away
37,2011-09-21,-2.47,-2.47,0.62,0.62,malaga,ath bilbao,Home,Home,Home
38,2011-09-21,-2.07,-2.07,0.4,0.4,ath madrid,sp gijon,Home,Home,Home
39,2011-09-22,-1.4,-1.4,0.67,0.67,betis,zaragoza,Home,Home,Home
40,2011-09-22,-0.3,-0.3,1.1,1.1,espanol,getafe,Home,Home,Home
41,2011-09-24,-0.1,-0.1,0.2,0.2,barcelona,ath madrid,Home,Home,Home
42,2011-09-24,-1.1,-1.1,-1.0,-1.0,ath bilbao,villarreal,Draw,Home,Home
43,2011-09-24,0.2,0.2,1.3,1.3,sevilla,valencia,Home,Home,Home
44,2011-09-24,0.3,0.3,0.1,0.1,real madrid,vallecano,Home,Home,Home
45,2011-09-25,1.4,1.4,1.1,1.1,mallorca,sociedad,Home,Home,Home
46,2011-09-25,0.4,0.4,-1.0,-1.0,granada,osasuna,Draw,Home,Home
47,2011-09-25,1.6,1.6,1.2,1.2,levante,espanol,Home,Home,Home
48,2011-09-25,0.6,0.6,-1.0,-1.0,zaragoza,malaga,Draw,Away,Away
49,2011-09-25,-0.4,-0.4,-1.0,-1.0,sp gijon,santander,Draw,Home,Home
50,2011-09-26,1.1,1.1,1.5,1.5,getafe,betis,Home,Home,Home
51,2011-10-01,1.67,1.67,0.57,0.57,malaga,getafe,Home,Home,Home
52,2011-10-01,0.67,0.67,-1.0,-1.0,osasuna,mallorca,Draw,Home,Home
53,2011-10-01,-0.33,-0.33,-1.0,-1.0,santander,vallecano,Draw,Home,Home
54,2011-10-01,0.0,0.0,0.33,0.33,valencia,granada,Home,Home,Home
55,2011-10-01,-1.0,-1.0,-1.0,-1.0,villarreal,zaragoza,Draw,Home,Home
56,2011-10-02,-2.0,-2.0,-1.0,-1.0,sociedad,ath bilbao,Away,Draw,Home
57,2011-10-02,-1.83,-1.83,0.17,0.17,sp gijon,barcelona,Away,Away,Away
58,2011-10-02,-2.83,-2.83,-1.0,-1.0,ath madrid,sevilla,Draw,Home,Home
59,2011-10-02,-2.58,-2.58,0.25,0.25,espanol,real madrid,Away,Away,Away
60,2011-10-02,-3.58,-3.58,-1.0,-1.0,betis,levante,Away,Home,Home
61,2011-10-15,-3.52,-3.52,0.06,0.06,barcelona,santander,Home,Home,Home
62,2011-10-15,-4.52,-4.52,-1.0,-1.0,getafe,villarreal,Draw,Home,Home
63,2011-10-15,-5.52,-5.52,-1.0,-1.0,granada,ath madrid,Draw,Away,Away
64,2011-10-15,-6.52,-6.52,-1.0,-1.0,mallorca,valencia,Draw,Away,Away
65,2011-10-15,-6.38,-6.38,0.14,0.14,real madrid,betis,Home,Home,Home
66,2011-10-16,-6.02,-6.02,0.36,0.36,sevilla,sp gijon,Home,Home,Home
67,2011-10-16,-7.02,-7.02,-1.0,-1.0,vallecano,espanol,Away,Home,Home
68,2011-10-16,-5.12,-8.02,1.9,-1.0,levante,malaga,Home,Home,Away
69,2011-10-16,-4.12,-7.02,1.0,1.0,zaragoza,sociedad,Home,Home,Home
70,2011-10-17,-3.29,-6.19,0.83,0.83,ath bilbao,osasuna,Home,Home,Home
71,2011-10-22,-2.29,-5.19,1.0,1.0,sp gijon,granada,Home,Home,Home
72,2011-10-22,-1.89,-4.79,0.4,0.4,malaga,real madrid,Away,Away,Away
73,2011-10-22,-2.89,-5.79,-1.0,-1.0,barcelona,sevilla,Draw,Home,Home
74,2011-10-22,-3.89,-6.79,-1.0,-1.0,santander,espanol,Away,Home,Home
75,2011-10-23,-4.89,-7.79,-1.0,-1.0,ath madrid,mallorca,Draw,Home,Home
76,2011-10-23,-5.89,-8.79,-1.0,-1.0,betis,vallecano,Away,Home,Home
77,2011-10-23,-4.98,-7.88,0.91,0.91,osasuna,zaragoza,Home,Home,Home
78,2011-10-23,-2.78,-8.88,2.2,-1.0,sociedad,getafe,Draw,Draw,Home
79,2011-10-23,-3.78,-9.88,-1.0,-1.0,valencia,ath bilbao,Draw,Home,Home
80,2011-10-23,-4.78,-10.88,-1.0,-1.0,villarreal,levante,Away,Home,Home
81,2011-10-25,-5.78,-11.88,-1.0,-1.0,sevilla,santander,Draw,Home,Home
82,2011-10-25,-5.68,-11.78,0.1,0.1,granada,barcelona,Away,Away,Away
83,2011-10-26,-4.48,-10.58,1.2,1.2,zaragoza,valencia,Away,Away,Away
84,2011-10-26,-2.58,-11.58,1.9,-1.0,vallecano,malaga,Home,Home,Away
85,2011-10-26,-2.45,-11.45,0.13,0.13,real madrid,villarreal,Home,Home,Home
86,2011-10-26,-1.72,-10.72,0.73,0.73,levante,sociedad,Home,Home,Home
87,2011-10-26,-2.72,-11.72,-1.0,-1.0,getafe,osasuna,Draw,Home,Home
88,2011-10-26,-3.72,-12.72,-1.0,-1.0,mallorca,sp gijon,Away,Home,Home
89,2011-10-27,-2.52,-11.52,1.2,1.2,espanol,betis,Home,Home,Home
90,2011-10-27,-1.14,-10.14,1.38,1.38,ath bilbao,ath madrid,Home,Home,Home
91,2011-10-29,-1.08,-10.08,0.06,0.06,barcelona,mallorca,Home,Home,Home
92,2011-10-29,-0.91,-9.91,0.17,0.17,sociedad,real madrid,Away,Away,Away
93,2011-10-29,-0.47,-9.47,0.44,0.44,valencia,getafe,Home,Home,Home
94,2011-10-29,0.53,-8.47,1.0,1.0,villarreal,vallecano,Home,Home,Home
95,2011-10-30,-0.47,-9.47,-1.0,-1.0,sp gijon,ath bilbao,Draw,Home,Home
96,2011-10-30,0.83,-8.17,1.3,1.3,osasuna,levante,Home,Home,Home
97,2011-10-30,1.56,-7.44,0.73,0.73,malaga,espanol,Home,Home,Home
98,2011-10-30,1.96,-7.04,0.4,0.4,ath madrid,zaragoza,Home,Home,Home
99,2011-10-30,3.56,-5.44,1.6,1.6,santander,betis,Home,Home,Home
100,2011-10-31,2.56,-6.44,-1.0,-1.0,sevilla,granada,Away,Home,Home
101,2011-11-05,1.56,-7.44,-1.0,-1.0,betis,malaga,Draw,Home,Away
102,2011-11-05,2.94,-6.06,1.38,1.38,levante,valencia,Away,Away,Away
103,2011-11-05,1.94,-7.06,-1.0,-1.0,mallorca,sevilla,Draw,Away,Away
104,2011-11-06,0.94,-8.06,-1.0,-1.0,zaragoza,sp gijon,Draw,Home,Home
105,2011-11-06,-0.06,-9.06,-1.0,-1.0,granada,santander,Draw,Home,Home
106,2011-11-06,-1.06,-10.06,-1.0,-1.0,getafe,ath madrid,Home,Draw,Away
107,2011-11-06,-0.15,-9.15,0.91,0.91,vallecano,sociedad,Home,Home,Home
108,2011-11-06,-1.15,-10.15,-1.0,-1.0,ath bilbao,barcelona,Draw,Away,Away
109,2011-11-06,-2.15,-11.15,-1.0,-1.0,espanol,villarreal,Draw,Home,Home
110,2011-11-06,-2.09,-11.09,0.06,0.06,real madrid,osasuna,Home,Home,Home
111,2011-11-19,-2.03,-11.03,0.06,0.06,barcelona,zaragoza,Home,Home,Home
112,2011-11-19,-1.5,-10.5,0.53,0.53,valencia,real madrid,Away,Away,Away
113,2011-11-19,-0.5,-9.5,1.0,1.0,villarreal,betis,Home,Home,Home
114,2011-11-20,0.07,-8.93,0.57,0.57,ath madrid,levante,Home,Home,Home
115,2011-11-20,-0.93,-9.93,-1.0,-1.0,sevilla,ath bilbao,Away,Home,Home
116,2011-11-20,-1.93,-10.93,-1.0,-1.0,sociedad,espanol,Draw,Home,Home
117,2011-11-20,-2.93,-11.93,-1.0,-1.0,osasuna,vallecano,Draw,Home,Home
118,2011-11-20,-1.73,-10.73,1.2,1.2,sp gijon,getafe,Home,Home,Home
