match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2011-08-27,-1.0,-1.0,-1.0,-1.0,sp gijon,sociedad,Away,Home,Home
2,2011-08-27,-0.6,-0.6,0.4,0.4,valencia,santander,Home,Home,Home
3,2011-08-27,-1.6,-1.6,-1.0,-1.0,granada,betis,Away,Home,Home
4,2011-08-28,-2.6,-2.6,-1.0,-1.0,ath bilbao,vallecano,Draw,Home,Home
5,2011-08-28,-3.6,-3.6,-1.0,-1.0,ath madrid,osasuna,Draw,Home,Home
6,2011-08-28,-4.6,-4.6,-1.0,-1.0,getafe,levante,Draw,Home,Home
7,2011-08-28,-3.6,-3.6,1.0,1.0,mallorca,espanol,Home,Home,Home
8,2011-08-28,-2.5,-2.5,1.1,1.1,sevilla,malaga,Home,Home,Home
9,2011-08-28,-2.17,-2.17,0.33,0.33,zaragoza,real madrid,Away,Away,Away
10,2011-08-29,-1.92,-1.92,0.25,0.25,barcelona,villarreal,Home,Home,Home
11,2011-09-10,-2.92,-2.92,-1.0,-1.0,villarreal,sevilla,Draw,Home,Home
12,2011-09-10,-2.01,-2.01,0.91,0.91,valencia,ath madrid,Home,Home,Home
13,2011-09-10,-1.93,-1.93,0.08,0.08,real madrid,getafe,Home,Home,Home
14,2011-09-10,-2.93,-2.93,-1.0,-1.0,sociedad,barcelona,Draw,Away,Away
15,2011-09-11,-2.02,-2.02,0.91,0.91,osasuna,sp gijon,Home,Home,Home
16,2011-09-11,-1.11,-1.11,0.91,0.91,betis,mallorca,Home,Home,Home
17,2011-09-11,-2.11,-2.11,-1.0,-1.0,santander,levante,Draw,Home,Home
18,2011-09-11,-3.11,-3.11,-1.0,-1.0,vallecano,zaragoza,Draw,Away,Home
19,2011-09-11,-1.71,-1.71,1.4,1.4,espanol,ath bilbao,Home,Home,Home
20,2011-09-12,-1.31,-1.31,0.4,0.4,malaga,granada,Home,Home,Home
21,2011-09-17,-0.06,-0.06,1.25,1.25,mallorca,malaga,Away,Away,Away
22,2011-09-17,1.14,1.14,1.2,1.2,sp gijon,valencia,Away,Away,Away
23,2011-09-17,1.22,1.22,0.08,0.08,barcelona,osasuna,Home,Home,Home
24,2011-09-17,1.75,1.75,0.53,0.53,sevilla,sociedad,Home,Home,Home
25,2011-09-17,0.75,0.75,-1.0,-1.0,granada,villarreal,Home,Away,Away
26,2011-09-18,-0.25,-0.25,-1.0,-1.0,ath bilbao,betis,Away,Home,Home
27,2011-09-18,0.19,0.19,0.44,0.44,ath madrid,santander,Home,Home,Home
28,2011-09-18,-0.81,-0.81,-1.0,-1.0,getafe,vallecano,Away,Home,Home
29,2011-09-18,-1.81,-1.81,-1.0,-1.0,levante,real madrid,Home,Away,Away
30,2011-09-18,-0.71,-0.71,1.1,1.1,zaragoza,espanol,Home,Home,Home
31,2011-09-20,-0.09,-0.09,0.62,0.62,villarreal,mallorca,Home,Home,Home
32,2011-09-20,-1.09,-1.09,-1.0,-1.0,osasuna,sevilla,Draw,Away,Away
33,2011-09-20,-0.09,-0.09,1.0,1.0,sociedad,granada,Home,Home,Home
34,2011-09-21,-1.09,-1.09,-1.0,-1.0,santander,real madrid,Draw,Away,Away
35,2011-09-21,-2.09,-2.09,-1.0,-1.0,valencia,barcelona,Draw,Away,Away
36,2011-09-21,-3.09,-3.09,-1.0,-1.0,vallecano,levante,Away,Home,Home
37,2011-09-21,-2.69,-2.69,0.4,0.4,ath madrid,sp gijon,Home,Home,Home
38,2011-09-21,-2.07,-2.07,0.62,0.62,malaga,ath bilbao,Home,Home,Home
39,2011-09-22,-1.4,-1.4,0.67,0.67,betis,zaragoza,Home,Home,Home
40,2011-09-22,-0.3,-0.3,1.1,1.1,espanol,getafe,Home,Home,Home
41,2011-09-24,-1.3,-1.3,-1.0,-1.0,ath bilbao,villarreal,Draw,Home,Home
42,2011-09-24,-1.1,-1.1,0.2,0.2,barcelona,ath madrid,Home,Home,Home
43,2011-09-24,-1.0,-1.0,0.1,0.1,real madrid,vallecano,Home,Home,Home
44,2011-09-24,0.3,0.3,1.3,1.3,sevilla,valencia,Home,Home,Home
45,2011-09-25,-0.7,-0.7,-1.0,-1.0,granada,osasuna,Draw,Home,Home
46,2011-09-25,-1.7,-1.7,-1.0,-1.0,zaragoza,malaga,Draw,Away,Away
47,2011-09-25,-2.7,-2.7,-1.0,-1.0,sp gijon,santander,Draw,Home,Home
48,2011-09-25,-1.5,-1.5,1.2,1.2,levante,espanol,Home,Home,Home
49,2011-09-25,-0.4,-0.4,1.1,1.1,mallorca,sociedad,Home,Home,Home
50,2011-09-26,1.1,1.1,1.5,1.5,getafe,betis,Home,Home,Home
51,2011-10-01,0.1,0.1,-1.0,-1.0,santander,vallecano,Draw,Home,Home
52,2011-10-01,-0.9,-0.9,-1.0,-1.0,osasuna,mallorca,Draw,Home,Home
53,2011-10-01,-1.9,-1.9,-1.0,-1.0,villarreal,zaragoza,Draw,Home,Home
54,2011-10-01,-1.57,-1.57,0.33,0.33,valencia,granada,Home,Home,Home
55,2011-10-01,-1.0,-1.0,0.57,0.57,malaga,getafe,Home,Home,Home
56,2011-10-02,-2.0,-2.0,-1.0,-1.0,sociedad,ath bilbao,Away,Home,Home
57,2011-10-02,-1.75,-1.75,0.25,0.25,espanol,real madrid,Away,Away,Away
58,2011-10-02,-1.58,-1.58,0.17,0.17,sp gijon,barcelona,Away,Away,Away
59,2011-10-02,-2.58,-2.58,-1.0,-1.0,ath madrid,sevilla,Draw,Home,Home
60,2011-10-02,-3.58,-3.58,-1.0,-1.0,betis,levante,Away,Home,Home
61,2011-10-15,-4.58,-4.58,-1.0,-1.0,granada,ath madrid,Draw,Away,Away
62,2011-10-15,-5.58,-5.58,-1.0,-1.0,getafe,villarreal,Draw,Home,Home
63,2011-10-15,-5.52,-5.52,0.06,0.06,barcelona,santander,Home,Home,Home
64,2011-10-15,-5.38,-5.38,0.14,0.14,real madrid,betis,Home,Home,Home
65,2011-10-15,-6.38,-6.38,-1.0,-1.0,mallorca,valencia,Draw,Away,Away
66,2011-10-16,-4.48,-7.38,1.9,-1.0,levante,malaga,Home,Home,Away
67,2011-10-16,-4.12,-7.02,0.36,0.36,sevilla,sp gijon,Home,Home,Home
68,2011-10-16,-5.12,-8.02,-1.0,-1.0,vallecano,espanol,Away,Home,Home
69,2011-10-16,-4.12,-7.02,1.0,1.0,zaragoza,sociedad,Home,Home,Home
70,2011-10-17,-3.29,-6.19,0.83,0.83,ath bilbao,osasuna,Home,Home,Home
71,2011-10-22,-2.29,-5.19,1.0,1.0,sp gijon,granada,Home,Home,Home
72,2011-10-22,-1.89,-4.79,0.4,0.4,malaga,real madrid,Away,Away,Away
73,2011-10-22,-2.89,-5.79,-1.0,-1.0,barcelona,sevilla,Draw,Home,Home
74,2011-10-22,-3.89,-6.79,-1.0,-1.0,santander,espanol,Away,Home,Home
75,2011-10-23,-4.89,-7.79,-1.0,-1.0,betis,vallecano,Away,Home,Home
76,2011-10-23,-3.98,-6.88,0.91,0.91,osasuna,zaragoza,Home,Home,Home
77,2011-10-23,-4.98,-7.88,-1.0,-1.0,ath madrid,mallorca,Draw,Home,Home
78,2011-10-23,-5.98,-8.88,-1.0,-1.0,valencia,ath bilbao,Draw,Home,Home
79,2011-10-23,-6.98,-9.88,-1.0,-1.0,villarreal,levante,Away,Home,Home
80,2011-10-23,-7.98,-10.88,-1.0,-1.0,sociedad,getafe,Draw,Home,Home
81,2011-10-25,-8.98,-11.88,-1.0,-1.0,sevilla,santander,Draw,Home,Home
82,2011-10-25,-8.88,-11.78,0.1,0.1,granada,barcelona,Away,Away,Away
83,2011-10-26,-7.68,-10.58,1.2,1.2,zaragoza,valencia,Away,Away,Away
84,2011-10-26,-5.78,-11.58,1.9,-1.0,vallecano,malaga,Home,Home,Away
85,2011-10-26,-5.65,-11.45,0.13,0.13,real madrid,villarreal,Home,Home,Home
86,2011-10-26,-4.92,-10.72,0.73,0.73,levante,sociedad,Home,Home,Home
87,2011-10-26,-5.92,-11.72,-1.0,-1.0,getafe,osasuna,Draw,Home,Home
88,2011-10-26,-6.92,-12.72,-1.0,-1.0,mallorca,sp gijon,Away,Home,Home
89,2011-10-27,-5.72,-11.52,1.2,1.2,espanol,betis,Home,Home,Home
90,2011-10-27,-4.34,-10.14,1.38,1.38,ath bilbao,ath madrid,Home,Home,Home
91,2011-10-29,-4.28,-10.08,0.06,0.06,barcelona,mallorca,Home,Home,Home
92,2011-10-29,-3.28,-9.08,1.0,1.0,villarreal,vallecano,Home,Home,Home
93,2011-10-29,-3.11,-8.91,0.17,0.17,sociedad,real madrid,Away,Away,Away
94,2011-10-29,-2.67,-8.47,0.44,0.44,valencia,getafe,Home,Home,Home
95,2011-10-30,-3.67,-9.47,-1.0,-1.0,sp gijon,ath bilbao,Draw,Home,Home
96,2011-10-30,-2.07,-7.87,1.6,1.6,santander,betis,Home,Home,Home
97,2011-10-30,-1.67,-7.47,0.4,0.4,ath madrid,zaragoza,Home,Home,Home
98,2011-10-30,-0.94,-6.74,0.73,0.73,malaga,espanol,Home,Home,Home
99,2011-10-30,0.36,-5.44,1.3,1.3,osasuna,levante,Home,Home,Home
100,2011-10-31,-0.64,-6.44,-1.0,-1.0,sevilla,granada,Away,Home,Home
101,2011-11-05,-1.64,-7.44,-1.0,-1.0,betis,malaga,Draw,Home,Away
102,2011-11-05,-0.26,-6.06,1.38,1.38,levante,valencia,Away,Away,Away
103,2011-11-05,-1.26,-7.06,-1.0,-1.0,mallorca,sevilla,Draw,Away,Away
104,2011-11-06,-2.26,-8.06,-1.0,-1.0,granada,santander,Draw,Home,Home
105,2011-11-06,-3.26,-9.06,-1.0,-1.0,zaragoza,sp gijon,Draw,Home,Home
106,2011-11-06,-3.2,-9.0,0.06,0.06,real madrid,osasuna,Home,Home,Home
107,2011-11-06,-4.2,-10.0,-1.0,-1.0,getafe,ath madrid,Home,Draw,Away
108,2011-11-06,-5.2,-11.0,-1.0,-1.0,espanol,villarreal,Draw,Home,Home
109,2011-11-06,-6.2,-12.0,-1.0,-1.0,ath bilbao,barcelona,Draw,Away,Away
110,2011-11-06,-5.29,-11.09,0.91,0.91,vallecano,sociedad,Home,Home,Home
111,2011-11-19,-4.76,-10.56,0.53,0.53,valencia,real madrid,Away,Away,Away
112,2011-11-19,-3.76,-9.56,1.0,1.0,villarreal,betis,Home,Home,Home
113,2011-11-19,-3.7,-9.5,0.06,0.06,barcelona,zaragoza,Home,Home,Home
114,2011-11-20,-3.13,-8.93,0.57,0.57,ath madrid,levante,Home,Home,Home
115,2011-11-20,-4.13,-9.93,-1.0,-1.0,osasuna,vallecano,Draw,Home,Home
116,2011-11-20,-5.13,-10.93,-1.0,-1.0,sevilla,ath bilbao,Away,Home,Home
117,2011-11-20,-6.13,-11.93,-1.0,-1.0,sociedad,espanol,Draw,Home,Home
118,2011-11-20,-4.93,-10.73,1.2,1.2,sp gijon,getafe,Home,Home,Home
119,2011-11-21,-3.68,-9.48,1.25,1.25,santander,malaga,Away,Away,Away
120,2011-11-26,-3.51,-9.31,0.17,0.17,real madrid,ath madrid,Home,Home,Home
121,2011-11-26,-4.51,-10.31,-1.0,-1.0,getafe,barcelona,Home,Away,Away
122,2011-11-26,-3.41,-9.21,1.1,1.1,vallecano,valencia,Away,Away,Away
123,2011-11-27,-4.41,-10.21,-1.0,-1.0,ath bilbao,granada,Away,Home,Home
124,2011-11-27,-5.41,-11.21,-1.0,-1.0,betis,sociedad,Away,Home,Home
125,2011-11-27,-6.41,-12.21,-1.0,-1.0,espanol,osasuna,Away,Home,Home
126,2011-11-27,-5.58,-11.38,0.83,0.83,levante,sp gijon,Home,Home,Home
127,2011-11-27,-4.75,-10.55,0.83,0.83,mallorca,santander,Home,Home,Home
128,2011-11-27,-3.35,-9.15,1.4,1.4,zaragoza,sevilla,Away,Away,Away
129,2011-11-28,-2.62,-8.42,0.73,0.73,malaga,villarreal,Home,Home,Home
130,2011-11-29,-2.56,-8.36,0.06,0.06,barcelona,vallecano,Home,Home,Home
131,2011-12-03,-2.06,-7.86,0.5,0.5,valencia,espanol,Home,Home,Home
132,2011-12-03,-1.84,-7.64,0.22,0.22,sp gijon,real madrid,Away,Away,Away
133,2011-12-03,-0.09,-8.64,1.75,-1.0,santander,villarreal,Home,Home,Away
134,2011-12-03,0.01,-8.54,0.1,0.1,barcelona,levante,Home,Home,Home
135,2011-12-04,0.58,-7.97,0.57,0.57,ath madrid,vallecano,Home,Home,Home
136,2011-12-04,1.68,-6.87,1.1,1.1,granada,zaragoza,Home,Home,Home
137,2011-12-04,3.98,-7.87,2.3,-1.0,mallorca,ath bilbao,Draw,Draw,Away
138,2011-12-04,5.08,-6.77,1.1,1.1,osasuna,betis,Home,Home,Home
139,2011-12-04,7.08,-7.77,2.0,-1.0,sociedad,malaga,Home,Home,Away
140,2011-12-05,7.7,-7.15,0.62,0.62,sevilla,getafe,Home,Home,Home
141,2011-12-07,6.7,-8.15,-1.0,-1.0,granada,mallorca,Draw,Home,Home
142,2011-12-10,5.7,-9.15,-1.0,-1.0,betis,valencia,Home,Away,Away
143,2011-12-10,4.7,-10.15,-1.0,-1.0,real madrid,barcelona,Away,Home,Home
144,2011-12-10,3.7,-11.15,-1.0,-1.0,levante,sevilla,Home,Away,Away
145,2011-12-11,2.7,-12.15,-1.0,-1.0,ath bilbao,santander,Draw,Home,Home
146,2011-12-11,4.5,-13.15,1.8,-1.0,espanol,ath madrid,Home,Home,Away
147,2011-12-11,5.23,-12.42,0.73,0.73,getafe,granada,Home,Home,Home
148,2011-12-11,4.23,-13.42,-1.0,-1.0,malaga,osasuna,Draw,Home,Home
149,2011-12-11,3.23,-14.42,-1.0,-1.0,vallecano,sp gijon,Away,Home,Home
150,2011-12-11,2.23,-15.42,-1.0,-1.0,villarreal,sociedad,Draw,Home,Home
151,2011-12-11,1.23,-16.42,-1.0,-1.0,zaragoza,mallorca,Away,Home,Home
152,2011-12-17,1.63,-16.02,0.4,0.4,sevilla,real madrid,Away,Away,Away
153,2011-12-17,0.63,-17.02,-1.0,-1.0,sp gijon,espanol,Away,Home,Home
154,2011-12-17,1.03,-16.62,0.4,0.4,ath bilbao,zaragoza,Home,Home,Home
155,2011-12-17,0.03,-17.62,-1.0,-1.0,mallorca,getafe,Away,Home,Home
156,2011-12-18,-0.97,-18.62,-1.0,-1.0,santander,sociedad,Draw,Home,Home
157,2011-12-18,-1.97,-19.62,-1.0,-1.0,ath madrid,betis,Away,Home,Home
158,2011-12-18,-2.97,-18.12,-1.0,1.5,granada,levante,Home,Away,Home
159,2011-12-18,-2.24,-17.39,0.73,0.73,valencia,malaga,Home,Home,Home
160,2011-12-18,-1.14,-16.29,1.1,1.1,osasuna,villarreal,Home,Home,Home
161,2012-01-07,-2.14,-17.29,-1.0,-1.0,sociedad,osasuna,Draw,Home,Home
162,2012-01-07,-2.08,-17.23,0.06,0.06,real madrid,granada,Home,Home,Home
163,2012-01-07,-1.08,-16.23,1.0,1.0,santander,zaragoza,Home,Home,Home
164,2012-01-07,-2.08,-17.23,-1.0,-1.0,levante,mallorca,Draw,Home,Home
165,2012-01-07,-3.08,-18.23,-1.0,-1.0,malaga,ath madrid,Draw,Home,Home
166,2012-01-08,-4.08,-19.23,-1.0,-1.0,espanol,barcelona,Draw,Away,Away
167,2012-01-08,-5.08,-20.23,-1.0,-1.0,vallecano,sevilla,Home,Away,Away
168,2012-01-08,-4.17,-19.32,0.91,0.91,betis,sp gijon,Home,Home,Home
169,2012-01-08,-5.17,-20.32,-1.0,-1.0,getafe,ath bilbao,Draw,Home,Home
170,2012-01-08,-6.17,-21.32,-1.0,-1.0,villarreal,valencia,Draw,Home,Away
171,2012-01-14,-7.17,-22.32,-1.0,-1.0,granada,vallecano,Away,Home,Home
172,2012-01-14,-8.17,-23.32,-1.0,-1.0,sevilla,espanol,Draw,Home,Home
173,2012-01-14,-9.17,-24.32,-1.0,-1.0,valencia,sociedad,Away,Home,Home
