match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2021-08-13,1.55,1.55,1.55,1.55,valencia,getafe,Home,Home,Home
2,2021-08-14,3.8,0.55,2.25,-1.0,cadiz,levante,Draw,Draw,Away
3,2021-08-14,2.8,-0.45,-1.0,-1.0,mallorca,betis,Draw,Away,Away
4,2021-08-14,3.24,-0.01,0.44,0.44,alaves,real madrid,Away,Away,Away
5,2021-08-14,5.44,-1.01,2.2,-1.0,osasuna,espanol,Draw,Draw,Home
6,2021-08-15,6.34,-0.11,0.9,0.9,celta,ath madrid,Away,Away,Away
7,2021-08-15,7.06,0.61,0.72,0.72,barcelona,sociedad,Home,Home,Home
8,2021-08-15,7.5,1.05,0.44,0.44,sevilla,vallecano,Home,Home,Home
9,2021-08-16,6.5,0.05,-1.0,-1.0,villarreal,granada,Draw,Home,Home
10,2021-08-16,8.8,-0.95,2.3,-1.0,elche,ath bilbao,Draw,Draw,Away
11,2021-08-20,7.8,-1.95,-1.0,-1.0,betis,cadiz,Draw,Home,Home
12,2021-08-21,6.8,-2.95,-1.0,-1.0,ath bilbao,barcelona,Draw,Away,Away
13,2021-08-21,5.8,-3.95,-1.0,-1.0,granada,valencia,Draw,Home,Home
14,2021-08-21,4.8,-4.95,-1.0,-1.0,alaves,mallorca,Away,Home,Home
15,2021-08-21,3.8,-5.95,-1.0,-1.0,espanol,villarreal,Draw,Away,Away
16,2021-08-22,4.24,-5.51,0.44,0.44,sociedad,vallecano,Home,Home,Home
17,2021-08-22,4.46,-5.29,0.22,0.22,ath madrid,elche,Home,Home,Home
18,2021-08-22,3.46,-6.29,-1.0,-1.0,levante,real madrid,Draw,Away,Away
19,2021-08-23,4.66,-5.09,1.2,1.2,getafe,sevilla,Away,Away,Away
20,2021-08-23,3.66,-6.09,-1.0,-1.0,osasuna,celta,Draw,Home,Home
21,2021-08-27,2.66,-4.49,-1.0,1.6,mallorca,espanol,Home,Draw,Home
22,2021-08-27,3.41,-3.74,0.75,0.75,valencia,alaves,Home,Home,Home
23,2021-08-28,3.94,-3.21,0.53,0.53,sociedad,levante,Home,Home,Home
24,2021-08-28,4.74,-2.41,0.8,0.8,betis,real madrid,Away,Away,Away
25,2021-08-28,3.74,-3.41,-1.0,-1.0,elche,sevilla,Draw,Away,Away
26,2021-08-28,2.74,-4.41,-1.0,-1.0,celta,ath bilbao,Away,Home,Home
27,2021-08-29,3.14,-4.01,0.4,0.4,barcelona,getafe,Home,Home,Home
28,2021-08-29,2.14,-2.56,-1.0,1.45,cadiz,osasuna,Away,Draw,Away
29,2021-08-29,1.14,-1.01,-1.0,1.55,vallecano,granada,Home,Draw,Home
30,2021-08-29,0.14,-2.01,-1.0,-1.0,ath madrid,villarreal,Draw,Home,Home
31,2021-09-11,-0.86,-3.01,-1.0,-1.0,levante,vallecano,Draw,Home,Home
32,2021-09-11,-0.14,-2.29,0.72,0.72,ath bilbao,mallorca,Home,Home,Home
33,2021-09-12,-1.14,-1.54,-1.0,0.75,cadiz,sociedad,Away,Draw,Away
34,2021-09-12,-0.24,-0.64,0.9,0.9,espanol,ath madrid,Away,Away,Away
35,2021-09-12,1.86,-1.64,2.1,-1.0,osasuna,valencia,Away,Away,Home
36,2021-09-12,2.22,-1.28,0.36,0.36,real madrid,celta,Home,Home,Home
37,2021-09-13,1.22,-2.28,-1.0,-1.0,getafe,elche,Away,Home,Home
38,2021-09-13,0.22,-0.91,-1.0,1.37,granada,betis,Away,Home,Away
39,2021-09-17,-0.78,-1.91,-1.0,-1.0,celta,cadiz,Away,Home,Home
40,2021-09-18,-1.78,-2.91,-1.0,-1.0,ath madrid,ath bilbao,Draw,Home,Home
41,2021-09-18,-2.78,-1.54,-1.0,1.37,vallecano,getafe,Home,Away,Home
42,2021-09-18,-0.68,-2.54,2.1,-1.0,elche,levante,Draw,Draw,Home
43,2021-09-18,-1.68,-0.99,-1.0,1.55,alaves,osasuna,Away,Home,Away
44,2021-09-19,-0.78,-0.09,0.9,0.9,valencia,real madrid,Away,Away,Away
45,2021-09-19,-1.78,-1.09,-1.0,-1.0,betis,espanol,Draw,Home,Home
46,2021-09-19,-2.78,-2.09,-1.0,-1.0,sociedad,sevilla,Draw,Home,Home
47,2021-09-19,-3.78,-3.09,-1.0,-1.0,mallorca,villarreal,Draw,Away,Away
48,2021-09-20,-4.78,-4.09,-1.0,-1.0,barcelona,granada,Draw,Home,Home
49,2021-09-21,-4.12,-3.43,0.66,0.66,getafe,ath madrid,Away,Away,Away
50,2021-09-21,-5.12,-4.43,-1.0,-1.0,ath bilbao,vallecano,Away,Home,Home
51,2021-09-21,-6.12,-5.43,-1.0,-1.0,levante,celta,Away,Home,Home
52,2021-09-22,-5.9,-5.21,0.22,0.22,real madrid,mallorca,Home,Home,Home
53,2021-09-22,-5.4,-4.71,0.5,0.5,villarreal,elche,Home,Home,Home
54,2021-09-22,-4.6,-3.91,0.8,0.8,espanol,alaves,Home,Home,Home
55,2021-09-22,-3.99,-3.3,0.61,0.61,sevilla,valencia,Home,Home,Home
56,2021-09-23,-3.09,-2.4,0.9,0.9,granada,sociedad,Away,Away,Away
57,2021-09-23,-4.09,-3.4,-1.0,-1.0,osasuna,betis,Away,Home,Home
58,2021-09-23,-5.09,-4.4,-1.0,-1.0,cadiz,barcelona,Draw,Away,Away
59,2021-09-25,-6.09,-5.4,-1.0,-1.0,valencia,ath bilbao,Draw,Home,Home
60,2021-09-25,-7.09,-6.4,-1.0,-1.0,real madrid,villarreal,Draw,Home,Home
61,2021-09-25,-8.09,-7.4,-1.0,-1.0,alaves,ath madrid,Home,Away,Away
62,2021-09-25,-7.52,-6.83,0.57,0.57,sevilla,espanol,Home,Home,Home
63,2021-09-26,-6.92,-6.23,0.6,0.6,vallecano,cadiz,Home,Home,Home
64,2021-09-26,-6.52,-5.83,0.4,0.4,barcelona,levante,Home,Home,Home
65,2021-09-26,-6.12,-5.43,0.4,0.4,sociedad,elche,Home,Home,Home
66,2021-09-26,-5.37,-4.68,0.75,0.75,betis,getafe,Home,Home,Home
67,2021-09-26,-6.37,-5.68,-1.0,-1.0,mallorca,osasuna,Away,Home,Home
68,2021-09-27,-5.76,-5.07,0.61,0.61,celta,granada,Home,Home,Home
69,2021-10-01,-5.23,-4.54,0.53,0.53,ath bilbao,alaves,Home,Home,Home
70,2021-10-02,-4.08,-3.39,1.15,1.15,osasuna,vallecano,Home,Home,Home
71,2021-10-02,-5.08,-2.29,-1.0,1.1,mallorca,levante,Home,Draw,Home
72,2021-10-02,-6.08,-3.29,-1.0,-1.0,cadiz,valencia,Draw,Away,Away
73,2021-10-02,-5.18,-2.39,0.9,0.9,ath madrid,barcelona,Home,Home,Home
74,2021-10-03,-6.18,-3.39,-1.0,-1.0,granada,sevilla,Home,Away,Away
75,2021-10-03,-7.18,-4.39,-1.0,-1.0,espanol,real madrid,Home,Away,Away
76,2021-10-03,-6.18,-3.39,1.0,1.0,villarreal,betis,Home,Home,Home
77,2021-10-03,-3.88,-4.39,2.3,-1.0,elche,celta,Home,Home,Away
78,2021-10-03,-4.88,-5.39,-1.0,-1.0,getafe,sociedad,Draw,Away,Away
79,2021-10-16,-5.88,-6.39,-1.0,-1.0,levante,getafe,Draw,Home,Home
80,2021-10-16,-5.48,-5.99,0.4,0.4,sociedad,mallorca,Home,Home,Home
81,2021-10-17,-6.48,-6.99,-1.0,-1.0,villarreal,osasuna,Away,Home,Home
82,2021-10-17,-5.28,-5.79,1.2,1.2,celta,sevilla,Away,Away,Away
83,2021-10-17,-4.78,-5.29,0.5,0.5,barcelona,valencia,Home,Home,Home
84,2021-10-17,-3.98,-4.49,0.8,0.8,vallecano,elche,Home,Home,Home
85,2021-10-18,-3.32,-3.83,0.66,0.66,espanol,cadiz,Home,Home,Home
86,2021-10-18,-2.17,-2.68,1.15,1.15,alaves,betis,Away,Away,Away
87,2021-10-22,-3.17,-3.68,-1.0,-1.0,osasuna,granada,Draw,Home,Home
88,2021-10-23,-4.17,-4.68,-1.0,-1.0,cadiz,alaves,Away,Home,Home
89,2021-10-23,-5.17,-5.68,-1.0,-1.0,valencia,mallorca,Draw,Home,Home
90,2021-10-23,-3.17,-6.68,2.0,-1.0,elche,espanol,Draw,Draw,Home
91,2021-10-23,-4.17,-5.23,-1.0,1.45,ath bilbao,villarreal,Home,Draw,Home
92,2021-10-24,-5.17,-3.78,-1.0,1.45,barcelona,real madrid,Away,Home,Away
93,2021-10-24,-4.73,-3.34,0.44,0.44,sevilla,levante,Home,Home,Home
94,2021-10-24,-5.73,-4.34,-1.0,-1.0,ath madrid,sociedad,Draw,Home,Home
95,2021-10-24,-4.9,-3.51,0.83,0.83,betis,vallecano,Home,Home,Home
96,2021-10-25,-5.9,-4.51,-1.0,-1.0,getafe,celta,Away,Home,Home
97,2021-10-26,-4.6,-3.21,1.3,1.3,alaves,elche,Home,Home,Home
98,2021-10-26,-5.6,-4.21,-1.0,-1.0,espanol,ath bilbao,Draw,Home,Away
99,2021-10-26,-6.6,-5.21,-1.0,-1.0,villarreal,cadiz,Draw,Home,Home
100,2021-10-27,-5.75,-4.36,0.85,0.85,betis,valencia,Home,Home,Home
101,2021-10-27,-6.75,-5.36,-1.0,-1.0,mallorca,sevilla,Draw,Away,Away
102,2021-10-27,-7.75,-6.36,-1.0,-1.0,vallecano,barcelona,Home,Away,Away
103,2021-10-27,-8.75,-7.36,-1.0,-1.0,real madrid,osasuna,Draw,Home,Home
104,2021-10-28,-9.75,-8.36,-1.0,-1.0,levante,ath madrid,Draw,Away,Away
105,2021-10-28,-10.75,-6.91,-1.0,1.45,celta,sociedad,Away,Home,Away
106,2021-10-28,-11.75,-7.91,-1.0,-1.0,granada,getafe,Draw,Home,Home
107,2021-10-30,-11.31,-7.47,0.44,0.44,elche,real madrid,Away,Away,Away
108,2021-10-30,-10.78,-6.94,0.53,0.53,sevilla,osasuna,Home,Home,Home
109,2021-10-30,-11.78,-7.94,-1.0,-1.0,valencia,villarreal,Home,Away,Away
110,2021-10-30,-12.78,-8.94,-1.0,-1.0,barcelona,alaves,Draw,Home,Home
111,2021-10-31,-11.33,-7.49,1.45,1.45,getafe,espanol,Home,Home,Home
112,2021-10-31,-10.73,-6.89,0.6,0.6,ath madrid,betis,Home,Home,Home
113,2021-10-31,-11.73,-7.89,-1.0,-1.0,sociedad,ath bilbao,Draw,Home,Home
114,2021-10-31,-12.73,-8.89,-1.0,-1.0,cadiz,mallorca,Draw,Home,Home
115,2021-11-01,-13.73,-9.89,-1.0,-1.0,vallecano,celta,Draw,Home,Home
116,2021-11-01,-14.73,-10.89,-1.0,-1.0,levante,granada,Away,Home,Home
117,2021-11-05,-15.73,-11.89,-1.0,-1.0,ath bilbao,cadiz,Away,Home,Home
118,2021-11-06,-14.23,-10.39,1.5,1.5,alaves,levante,Home,Home,Home
119,2021-11-06,-13.9,-10.06,0.33,0.33,real madrid,vallecano,Home,Home,Home
120,2021-11-06,-14.9,-11.06,-1.0,-1.0,celta,barcelona,Draw,Away,Away
121,2021-11-06,-14.05,-10.21,0.85,0.85,espanol,granada,Home,Home,Home
122,2021-11-07,-13.55,-9.71,0.5,0.5,villarreal,getafe,Home,Home,Home
123,2021-11-07,-14.55,-10.71,-1.0,-1.0,valencia,ath madrid,Draw,Away,Away
124,2021-11-07,-15.55,-11.71,-1.0,-1.0,mallorca,elche,Draw,Home,Home
125,2021-11-07,-16.55,-10.36,-1.0,1.35,osasuna,sociedad,Away,Draw,Away
126,2021-11-07,-15.1,-8.91,1.45,1.45,betis,sevilla,Away,Away,Away
127,2021-11-19,-16.1,-9.91,-1.0,-1.0,levante,ath bilbao,Draw,Home,Away
128,2021-11-20,-15.66,-9.47,0.44,0.44,ath madrid,osasuna,Home,Home,Home
129,2021-11-20,-15.3,-9.11,0.36,0.36,barcelona,espanol,Home,Home,Home
130,2021-11-20,-16.3,-10.11,-1.0,-1.0,celta,villarreal,Draw,Home,Away
131,2021-11-20,-17.3,-11.11,-1.0,-1.0,sevilla,alaves,Draw,Home,Home
132,2021-11-21,-16.2,-10.01,1.1,1.1,elche,betis,Away,Away,Away
133,2021-11-21,-17.2,-11.01,-1.0,-1.0,sociedad,valencia,Draw,Home,Home
134,2021-11-21,-16.2,-10.01,1.0,1.0,getafe,cadiz,Home,Home,Home
135,2021-11-21,-15.75,-9.56,0.45,0.45,granada,real madrid,Away,Away,Away
136,2021-11-22,-16.75,-8.76,-1.0,0.8,vallecano,mallorca,Home,Away,Home
137,2021-11-26,-17.75,-9.76,-1.0,-1.0,ath bilbao,granada,Draw,Home,Home
138,2021-11-27,-16.15,-8.16,1.6,1.6,villarreal,barcelona,Away,Away,Away
139,2021-11-27,-17.15,-9.16,-1.0,-1.0,mallorca,getafe,Draw,Home,Home
140,2021-11-27,-18.15,-7.61,-1.0,1.55,alaves,celta,Away,Home,Away
141,2021-11-27,-19.15,-8.61,-1.0,-1.0,valencia,vallecano,Draw,Home,Home
142,2021-11-28,-18.65,-8.11,0.5,0.5,cadiz,ath madrid,Away,Away,Away
143,2021-11-28,-17.95,-7.41,0.7,0.7,real madrid,sevilla,Home,Home,Home
144,2021-11-28,-17.29,-6.75,0.66,0.66,betis,levante,Home,Home,Home
145,2021-11-28,-18.29,-7.75,-1.0,-1.0,espanol,sociedad,Home,Away,Away
146,2021-11-29,-19.29,-8.75,-1.0,-1.0,osasuna,elche,Draw,Home,Home
147,2021-12-01,-18.85,-8.31,0.44,0.44,real madrid,ath bilbao,Home,Home,Home
148,2021-12-03,-17.48,-6.94,1.37,1.37,granada,alaves,Home,Home,Home
149,2021-12-04,-16.23,-5.69,1.25,1.25,sociedad,real madrid,Away,Away,Away
150,2021-12-04,-15.23,-4.69,1.0,1.0,sevilla,villarreal,Home,Home,Home
151,2021-12-04,-16.23,-5.69,-1.0,-1.0,barcelona,betis,Away,Home,Home
152,2021-12-04,-17.23,-6.69,-1.0,-1.0,ath madrid,mallorca,Away,Home,Home
153,2021-12-05,-18.23,-7.69,-1.0,-1.0,celta,valencia,Away,Home,Home
154,2021-12-05,-19.23,-8.69,-1.0,-1.0,levante,osasuna,Draw,Home,Home
155,2021-12-05,-18.18,-7.64,1.05,1.05,elche,cadiz,Home,Home,Home
156,2021-12-05,-17.03,-6.49,1.15,1.15,vallecano,espanol,Home,Home,Home
157,2021-12-06,-18.03,-7.49,-1.0,-1.0,getafe,ath bilbao,Draw,Away,Away
158,2021-12-10,-19.03,-8.49,-1.0,-1.0,mallorca,celta,Draw,Home,Home
159,2021-12-11,-20.03,-9.49,-1.0,-1.0,ath bilbao,sevilla,Away,Draw,Home
160,2021-12-11,-18.98,-8.44,1.05,1.05,espanol,levante,Home,Home,Home
161,2021-12-11,-19.98,-9.44,-1.0,-1.0,alaves,getafe,Draw,Home,Home
162,2021-12-11,-19.23,-8.69,0.75,0.75,valencia,elche,Home,Home,Home
