Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2011-08-27,2011,sp gijon,sociedad,2.05,3.25,3.75,0.4593,0.2897,0.2511,0,2,2.05,0.0,-1.0,-1.0,-0.05852567121997165
2011-08-27,2011,valencia,santander,1.4,4.33,8.0,0.6674,0.2158,0.1168,2,2,1.4,1.4,0.3999999999999999,-0.6000000000000001,-0.06562367538823166
2011-08-27,2011,granada,betis,2.3,3.4,3.0,0.4093,0.2769,0.3138,0,2,2.3,0.0,-1.0,-1.6,-0.058587479935794495
2011-08-28,2011,ath bilbao,vallecano,1.57,3.75,6.0,0.5951,0.2492,0.1557,1,2,1.57,0.0,-1.0,-2.6,-0.06566157508430881
2011-08-28,2011,ath madrid,osasuna,1.53,3.8,6.5,0.6105,0.2458,0.1437,1,2,1.53,0.0,-1.0,-3.6,-0.06594330062532461
2011-08-28,2011,getafe,levante,1.8,3.5,4.5,0.5224,0.2687,0.209,1,2,1.8,0.0,-1.0,-4.6,-0.05970149253731327
2011-08-28,2011,mallorca,espanol,2.0,3.4,3.75,0.4713,0.2773,0.2514,2,2,2.0,2.0,1.0,-3.5999999999999996,-0.0573012939001849
2011-08-28,2011,sevilla,malaga,2.1,3.4,3.4,0.4474,0.2763,0.2763,2,2,2.1,2.1,1.1,-2.4999999999999996,-0.06052631578947365
2011-08-28,2011,zaragoza,real madrid,8.5,5.0,1.33,0.11,0.187,0.703,0,0,1.33,1.33,0.33000000000000007,-2.1699999999999995,-0.06500703002233055
2011-08-29,2011,barcelona,villarreal,1.25,5.75,11.0,0.7513,0.1633,0.0854,2,2,1.25,1.25,0.25,-1.9199999999999995,-0.06087602078693388
2011-09-10,2011,real madrid,getafe,1.08,10.0,26.0,0.8699,0.094,0.0361,2,2,1.08,1.08,0.08000000000000007,-1.8399999999999994,-0.06049250535331918
2011-09-10,2011,sociedad,barcelona,15.0,7.0,1.17,0.0626,0.1342,0.8031,1,0,1.17,0.0,-1.0,-2.8399999999999994,-0.06034878384580078
2011-09-10,2011,valencia,ath madrid,1.91,3.6,3.75,0.4902,0.2601,0.2497,2,2,1.91,1.91,0.9099999999999999,-1.9299999999999995,-0.06367449207473175
2011-09-10,2011,villarreal,sevilla,2.1,3.4,3.4,0.4474,0.2763,0.2763,1,2,2.1,0.0,-1.0,-2.9299999999999997,-0.06052631578947365
2011-09-11,2011,osasuna,sp gijon,1.91,3.4,4.0,0.4904,0.2755,0.2342,2,2,1.91,1.91,0.9099999999999999,-2.0199999999999996,-0.06338789932934308
2011-09-11,2011,betis,mallorca,1.91,3.4,4.0,0.4904,0.2755,0.2342,2,2,1.91,1.91,0.9099999999999999,-1.1099999999999997,-0.06338789932934308
2011-09-11,2011,santander,levante,2.1,3.3,3.5,0.4472,0.2846,0.2683,1,2,2.1,0.0,-1.0,-2.1099999999999994,-0.060975609756097615
2011-09-11,2011,vallecano,zaragoza,2.2,3.2,3.4,0.4283,0.2945,0.2772,1,2,2.2,0.0,-1.0,-3.1099999999999994,-0.05763779527559065
2011-09-11,2011,espanol,ath bilbao,2.4,3.3,2.9,0.3914,0.2847,0.3239,2,2,2.4,2.4,1.4,-1.7099999999999995,-0.06061349693251539
2011-09-12,2011,malaga,granada,1.4,4.33,8.5,0.672,0.2173,0.1107,2,2,1.4,1.4,0.3999999999999999,-1.3099999999999996,-0.05915971296583711
2011-09-17,2011,granada,villarreal,3.3,3.3,2.2,0.2857,0.2857,0.4286,2,0,2.2,0.0,-1.0,-2.3099999999999996,-0.05714285714285705
